Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:47:06.830000,VER,33,0 days 00:01:16.265000,11.0,1.0,,,0 days 00:00:20.135000,0 days 00:00:35.898000,0 days 00:00:20.232000,0 days 00:46:10.700000,0 days 00:46:46.598000,0 days 00:47:06.830000,200.0,191.0,253.0,260.0,True,SOFT,16.0,False,Red Bull Racing,0 days 00:45:50.565000,2021-05-23 13:15:51.328,1,1.0,False,,False,True
0 days 00:48:23.169000,VER,33,0 days 00:01:16.339000,12.0,1.0,,,0 days 00:00:20.108000,0 days 00:00:35.895000,0 days 00:00:20.336000,0 days 00:47:26.938000,0 days 00:48:02.833000,0 days 00:48:23.169000,202.0,192.0,252.0,261.0,False,SOFT,17.0,False,Red Bull Racing,0 days 00:47:06.830000,2021-05-23 13:17:07.593,1,1.0,False,,False,True
0 days 00:49:39.123000,VER,33,0 days 00:01:15.954000,13.0,1.0,,,0 days 00:00:20.062000,0 days 00:00:35.654000,0 days 00:00:20.238000,0 days 00:48:43.231000,0 days 00:49:18.885000,0 days 00:49:39.123000,201.0,191.0,252.0,261.0,True,SOFT,18.0,False,Red Bull Racing,0 days 00:48:23.169000,2021-05-23 13:18:23.932,1,1.0,False,,False,True
0 days 00:50:55.428000,VER,33,0 days 00:01:16.305000,14.0,1.0,,,0 days 00:00:20.137000,0 days 00:00:35.880000,0 days 00:00:20.288000,0 days 00:49:59.260000,0 days 00:50:35.140000,0 days 00:50:55.428000,,192.0,253.0,261.0,False,SOFT,19.0,False,Red Bull Racing,0 days 00:49:39.123000,2021-05-23 13:19:39.886,1,1.0,False,,False,True
0 days 00:52:11.246000,VER,33,0 days 00:01:15.818000,15.0,1.0,,,0 days 00:00:20.037000,0 days 00:00:35.683000,0 days 00:00:20.098000,0 days 00:51:15.465000,0 days 00:51:51.148000,0 days 00:52:11.246000,200.0,194.0,252.0,263.0,True,SOFT,20.0,False,Red Bull Racing,0 days 00:50:55.428000,2021-05-23 13:20:56.191,1,1.0,False,,False,True
0 days 00:53:27.006000,VER,33,0 days 00:01:15.760000,16.0,1.0,,,0 days 00:00:20.033000,0 days 00:00:35.658000,0 days 00:00:20.069000,0 days 00:52:31.279000,0 days 00:53:06.937000,0 days 00:53:27.006000,203.0,193.0,253.0,262.0,True,SOFT,21.0,False,Red Bull Racing,0 days 00:52:11.246000,2021-05-23 13:22:12.009,1,1.0,False,,False,True
0 days 00:54:42.996000,VER,33,0 days 00:01:15.990000,17.0,1.0,,,0 days 00:00:20.052000,0 days 00:00:35.700000,0 days 00:00:20.238000,0 days 00:53:47.058000,0 days 00:54:22.758000,0 days 00:54:42.996000,206.0,194.0,253.0,262.0,False,SOFT,22.0,False,Red Bull Racing,0 days 00:53:27.006000,2021-05-23 13:23:27.769,1,1.0,False,,False,True
0 days 00:55:58.913000,VER,33,0 days 00:01:15.917000,18.0,1.0,,,0 days 00:00:19.961000,0 days 00:00:35.716000,0 days 00:00:20.240000,0 days 00:55:02.957000,0 days 00:55:38.673000,0 days 00:55:58.913000,204.0,192.0,253.0,263.0,False,SOFT,23.0,False,Red Bull Racing,0 days 00:54:42.996000,2021-05-23 13:24:43.759,1,1.0,False,,False,True
0 days 00:57:14.568000,VER,33,0 days 00:01:15.655000,19.0,1.0,,,0 days 00:00:19.958000,0 days 00:00:35.556000,0 days 00:00:20.141000,0 days 00:56:18.871000,0 days 00:56:54.427000,0 days 00:57:14.568000,203.0,194.0,254.0,264.0,True,SOFT,24.0,False,Red Bull Racing,0 days 00:55:58.913000,2021-05-23 13:25:59.676,1,1.0,False,,False,True
0 days 00:58:30.652000,VER,33,0 days 00:01:16.084000,20.0,1.0,,,0 days 00:00:20.113000,0 days 00:00:35.659000,0 days 00:00:20.312000,0 days 00:57:34.681000,0 days 00:58:10.340000,0 days 00:58:30.652000,206.0,192.0,254.0,265.0,False,SOFT,25.0,False,Red Bull Racing,0 days 00:57:14.568000,2021-05-23 13:27:15.331,1,1.0,False,,False,True
0 days 00:59:46.836000,VER,33,0 days 00:01:16.184000,21.0,1.0,,,0 days 00:00:20.040000,0 days 00:00:35.831000,0 days 00:00:20.313000,0 days 00:58:50.692000,0 days 00:59:26.523000,0 days 00:59:46.836000,200.0,192.0,255.0,265.0,False,SOFT,26.0,False,Red Bull Racing,0 days 00:58:30.652000,2021-05-23 13:28:31.415,1,1.0,False,,False,True
0 days 01:01:02.980000,VER,33,0 days 00:01:16.144000,22.0,1.0,,,0 days 00:00:20.040000,0 days 00:00:35.744000,0 days 00:00:20.360000,,0 days 01:00:42.620000,0 days 01:01:02.980000,203.0,192.0,255.0,266.0,False,SOFT,27.0,False,Red Bull Racing,0 days 00:59:46.836000,2021-05-23 13:29:47.599,1,1.0,False,,False,True
0 days 01:02:19.252000,VER,33,0 days 00:01:16.272000,23.0,1.0,,,0 days 00:00:20.015000,0 days 00:00:35.995000,0 days 00:00:20.262000,0 days 01:01:22.995000,0 days 01:01:58.990000,0 days 01:02:19.252000,199.0,193.0,254.0,265.0,False,SOFT,28.0,False,Red Bull Racing,0 days 01:01:02.980000,2021-05-23 13:31:03.743,1,1.0,False,,False,True
0 days 01:03:35.496000,VER,33,0 days 00:01:16.244000,24.0,1.0,,,0 days 00:00:20.102000,0 days 00:00:35.705000,0 days 00:00:20.437000,0 days 01:02:39.354000,0 days 01:03:15.059000,0 days 01:03:35.496000,203.0,191.0,254.0,266.0,False,SOFT,29.0,False,Red Bull Racing,0 days 01:02:19.252000,2021-05-23 13:32:20.015,1,1.0,False,,False,True
0 days 01:04:52.027000,VER,33,0 days 00:01:16.531000,25.0,1.0,,,0 days 00:00:20.095000,0 days 00:00:35.940000,0 days 00:00:20.496000,0 days 01:03:55.591000,0 days 01:04:31.531000,0 days 01:04:52.027000,204.0,193.0,254.0,269.0,False,SOFT,30.0,False,Red Bull Racing,0 days 01:03:35.496000,2021-05-23 13:33:36.259,1,1.0,False,,False,True
0 days 01:06:08.349000,VER,33,0 days 00:01:16.322000,26.0,1.0,,,0 days 00:00:19.963000,0 days 00:00:35.956000,0 days 00:00:20.403000,0 days 01:05:11.990000,0 days 01:05:47.946000,0 days 01:06:08.349000,203.0,192.0,256.0,266.0,False,SOFT,31.0,False,Red Bull Racing,0 days 01:04:52.027000,2021-05-23 13:34:52.790,1,1.0,False,,False,True
0 days 01:07:24.349000,VER,33,0 days 00:01:16,27.0,1.0,,,0 days 00:00:19.895000,0 days 00:00:35.729000,0 days 00:00:20.376000,0 days 01:06:28.244000,0 days 01:07:03.973000,0 days 01:07:24.349000,202.0,192.0,255.0,267.0,False,SOFT,32.0,False,Red Bull Racing,0 days 01:06:08.349000,2021-05-23 13:36:09.112,1,1.0,False,,False,True
0 days 01:08:40.330000,VER,33,0 days 00:01:15.981000,28.0,1.0,,,0 days 00:00:19.919000,0 days 00:00:35.709000,0 days 00:00:20.353000,0 days 01:07:44.268000,0 days 01:08:19.977000,0 days 01:08:40.330000,205.0,191.0,257.0,268.0,False,SOFT,33.0,False,Red Bull Racing,0 days 01:07:24.349000,2021-05-23 13:37:25.112,1,1.0,False,,False,True
0 days 01:09:56.881000,VER,33,0 days 00:01:16.551000,29.0,1.0,,,0 days 00:00:20.033000,0 days 00:00:36.052000,0 days 00:00:20.466000,0 days 01:09:00.363000,0 days 01:09:36.415000,0 days 01:09:56.881000,201.0,193.0,257.0,272.0,False,SOFT,34.0,False,Red Bull Racing,0 days 01:08:40.330000,2021-05-23 13:38:41.093,1,1.0,False,,False,True
0 days 01:11:13.463000,VER,33,0 days 00:01:16.582000,30.0,1.0,,,0 days 00:00:20.164000,0 days 00:00:36.138000,0 days 00:00:20.280000,0 days 01:10:17.045000,0 days 01:10:53.183000,0 days 01:11:13.463000,202.0,192.0,255.0,268.0,False,SOFT,35.0,False,Red Bull Racing,0 days 01:09:56.881000,2021-05-23 13:39:57.644,1,2.0,False,,False,True
0 days 01:12:28.630000,VER,33,0 days 00:01:15.167000,31.0,1.0,,,0 days 00:00:19.694000,0 days 00:00:35.358000,0 days 00:00:20.115000,0 days 01:11:33.157000,0 days 01:12:08.515000,0 days 01:12:28.630000,210.0,194.0,256.0,265.0,True,SOFT,36.0,False,Red Bull Racing,0 days 01:11:13.463000,2021-05-23 13:41:14.226,1,1.0,False,,False,True
0 days 01:13:44.519000,VER,33,0 days 00:01:15.889000,32.0,1.0,,,0 days 00:00:19.915000,0 days 00:00:35.662000,0 days 00:00:20.312000,0 days 01:12:48.545000,0 days 01:13:24.207000,0 days 01:13:44.519000,204.0,193.0,255.0,265.0,False,SOFT,37.0,False,Red Bull Racing,0 days 01:12:28.630000,2021-05-23 13:42:29.393,1,1.0,False,,False,True
0 days 01:15:00.346000,VER,33,0 days 00:01:15.827000,33.0,1.0,,,0 days 00:00:19.996000,0 days 00:00:35.553000,0 days 00:00:20.278000,0 days 01:14:04.515000,0 days 01:14:40.068000,0 days 01:15:00.346000,206.0,194.0,256.0,265.0,False,SOFT,38.0,False,Red Bull Racing,0 days 01:13:44.519000,2021-05-23 13:43:45.282,1,1.0,False,,False,True
0 days 01:16:32.685000,VER,33,0 days 00:01:32.339000,34.0,1.0,,0 days 01:16:10.012000,,0 days 00:00:35.567000,,,0 days 01:15:55.957000,,207.0,194.0,,266.0,False,SOFT,39.0,False,Red Bull Racing,0 days 01:15:00.346000,2021-05-23 13:45:01.109,1,1.0,False,,False,False
0 days 01:17:53.324000,VER,33,0 days 00:01:20.639000,35.0,2.0,0 days 01:16:33.471000,,0 days 00:00:23.590000,0 days 00:00:36.471000,0 days 00:00:20.578000,0 days 01:16:56.275000,0 days 01:17:32.746000,0 days 01:17:53.324000,193.0,190.0,255.0,268.0,False,HARD,1.0,True,Red Bull Racing,0 days 01:16:32.685000,2021-05-23 13:46:33.448,1,1.0,False,,False,False
0 days 01:19:08.818000,VER,33,0 days 00:01:15.494000,36.0,2.0,,,0 days 00:00:20.054000,0 days 00:00:35.322000,0 days 00:00:20.118000,0 days 01:18:13.378000,0 days 01:18:48.700000,0 days 01:19:08.818000,203.0,194.0,257.0,266.0,False,HARD,2.0,True,Red Bull Racing,0 days 01:17:53.324000,2021-05-23 13:47:54.087,1,1.0,False,,False,True
0 days 01:20:24.679000,VER,33,0 days 00:01:15.861000,37.0,2.0,,,0 days 00:00:20.077000,0 days 00:00:35.683000,0 days 00:00:20.101000,0 days 01:19:28.895000,0 days 01:20:04.578000,0 days 01:20:24.679000,196.0,195.0,257.0,267.0,False,HARD,3.0,True,Red Bull Racing,0 days 01:19:08.818000,2021-05-23 13:49:09.581,1,1.0,False,,False,True
0 days 01:21:41.117000,VER,33,0 days 00:01:16.438000,38.0,2.0,,,0 days 00:00:20.197000,0 days 00:00:35.896000,0 days 00:00:20.345000,0 days 01:20:44.876000,0 days 01:21:20.772000,0 days 01:21:41.117000,183.0,194.0,259.0,261.0,False,HARD,4.0,True,Red Bull Racing,0 days 01:20:24.679000,2021-05-23 13:50:25.442,1,1.0,False,,False,True
0 days 01:22:57.652000,VER,33,0 days 00:01:16.535000,39.0,2.0,,,0 days 00:00:20.225000,0 days 00:00:36.012000,0 days 00:00:20.298000,0 days 01:22:01.342000,0 days 01:22:37.354000,0 days 01:22:57.652000,190.0,189.0,259.0,269.0,False,HARD,5.0,True,Red Bull Racing,0 days 01:21:41.117000,2021-05-23 13:51:41.880,1,1.0,False,,False,True
0 days 01:24:13.533000,VER,33,0 days 00:01:15.881000,40.0,2.0,,,0 days 00:00:20.269000,0 days 00:00:35.493000,0 days 00:00:20.119000,0 days 01:23:17.921000,0 days 01:23:53.414000,0 days 01:24:13.533000,197.0,195.0,257.0,265.0,False,HARD,6.0,True,Red Bull Racing,0 days 01:22:57.652000,2021-05-23 13:52:58.415,1,1.0,False,,False,True
0 days 01:25:29.001000,VER,33,0 days 00:01:15.468000,41.0,2.0,,,0 days 00:00:19.896000,0 days 00:00:35.368000,0 days 00:00:20.204000,0 days 01:24:33.429000,0 days 01:25:08.797000,0 days 01:25:29.001000,203.0,193.0,259.0,267.0,False,HARD,7.0,True,Red Bull Racing,0 days 01:24:13.533000,2021-05-23 13:54:14.296,1,1.0,False,,False,True
0 days 01:26:44.582000,VER,33,0 days 00:01:15.581000,42.0,2.0,,,0 days 00:00:20.084000,0 days 00:00:35.482000,0 days 00:00:20.015000,0 days 01:25:49.085000,0 days 01:26:24.567000,0 days 01:26:44.582000,198.0,194.0,256.0,265.0,False,HARD,8.0,True,Red Bull Racing,0 days 01:25:29.001000,2021-05-23 13:55:29.764,1,1.0,False,,False,True
0 days 01:28:00.206000,VER,33,0 days 00:01:15.624000,43.0,2.0,,,0 days 00:00:20.141000,0 days 00:00:35.406000,0 days 00:00:20.077000,0 days 01:27:04.723000,0 days 01:27:40.129000,0 days 01:28:00.206000,203.0,196.0,256.0,266.0,False,HARD,9.0,True,Red Bull Racing,0 days 01:26:44.582000,2021-05-23 13:56:45.345,1,1.0,False,,False,True
0 days 01:29:15.199000,VER,33,0 days 00:01:14.993000,44.0,2.0,,,0 days 00:00:19.820000,0 days 00:00:35.243000,0 days 00:00:19.930000,0 days 01:28:20.026000,0 days 01:28:55.269000,0 days 01:29:15.199000,198.0,195.0,258.0,265.0,True,HARD,10.0,True,Red Bull Racing,0 days 01:28:00.206000,2021-05-23 13:58:00.969,1,1.0,False,,False,True
0 days 01:30:30.129000,VER,33,0 days 00:01:14.930000,45.0,2.0,,,0 days 00:00:19.795000,0 days 00:00:35.148000,0 days 00:00:19.987000,0 days 01:29:34.994000,0 days 01:30:10.142000,0 days 01:30:30.129000,193.0,196.0,258.0,267.0,True,HARD,11.0,True,Red Bull Racing,0 days 01:29:15.199000,2021-05-23 13:59:15.962,1,1.0,False,,False,True
0 days 01:31:45.631000,VER,33,0 days 00:01:15.502000,46.0,2.0,,,0 days 00:00:19.799000,0 days 00:00:35.345000,0 days 00:00:20.358000,0 days 01:30:49.928000,0 days 01:31:25.273000,0 days 01:31:45.631000,196.0,192.0,259.0,269.0,False,HARD,12.0,True,Red Bull Racing,0 days 01:30:30.129000,2021-05-23 14:00:30.892,1,1.0,False,,False,True
0 days 01:33:01.125000,VER,33,0 days 00:01:15.494000,47.0,2.0,,,0 days 00:00:19.963000,0 days 00:00:35.500000,0 days 00:00:20.031000,0 days 01:32:05.594000,0 days 01:32:41.094000,0 days 01:33:01.125000,190.0,194.0,257.0,264.0,False,HARD,13.0,True,Red Bull Racing,0 days 01:31:45.631000,2021-05-23 14:01:46.394,1,1.0,False,,False,True
0 days 01:34:15.976000,VER,33,0 days 00:01:14.851000,48.0,2.0,,,0 days 00:00:19.699000,0 days 00:00:35.150000,0 days 00:00:20.002000,0 days 01:33:20.824000,0 days 01:33:55.974000,0 days 01:34:15.976000,197.0,196.0,256.0,264.0,True,HARD,14.0,True,Red Bull Racing,0 days 01:33:01.125000,2021-05-23 14:03:01.888,1,1.0,False,,False,True
0 days 01:35:31.162000,VER,33,0 days 00:01:15.186000,49.0,2.0,,,0 days 00:00:19.880000,0 days 00:00:35.299000,0 days 00:00:20.007000,0 days 01:34:35.856000,0 days 01:35:11.155000,0 days 01:35:31.162000,,196.0,256.0,264.0,False,HARD,15.0,True,Red Bull Racing,0 days 01:34:15.976000,2021-05-23 14:04:16.739,1,1.0,False,,False,True
0 days 01:36:45.876000,VER,33,0 days 00:01:14.714000,50.0,2.0,,,0 days 00:00:19.772000,0 days 00:00:34.980000,0 days 00:00:19.962000,0 days 01:35:50.934000,0 days 01:36:25.914000,0 days 01:36:45.876000,196.0,196.0,256.0,264.0,True,HARD,16.0,True,Red Bull Racing,0 days 01:35:31.162000,2021-05-23 14:05:31.925,1,1.0,False,,False,True
0 days 01:38:00.826000,VER,33,0 days 00:01:14.950000,51.0,2.0,,,0 days 00:00:19.628000,0 days 00:00:35.311000,0 days 00:00:20.011000,0 days 01:37:05.504000,0 days 01:37:40.815000,0 days 01:38:00.826000,201.0,197.0,256.0,264.0,False,HARD,17.0,True,Red Bull Racing,0 days 01:36:45.876000,2021-05-23 14:06:46.639,1,1.0,False,,False,True
0 days 01:39:15.679000,VER,33,0 days 00:01:14.853000,52.0,2.0,,,0 days 00:00:19.821000,0 days 00:00:35.034000,0 days 00:00:19.998000,0 days 01:38:20.647000,0 days 01:38:55.681000,0 days 01:39:15.679000,199.0,195.0,256.0,266.0,False,HARD,18.0,True,Red Bull Racing,0 days 01:38:00.826000,2021-05-23 14:08:01.589,1,1.0,False,,False,True
0 days 01:40:30.424000,VER,33,0 days 00:01:14.745000,53.0,2.0,,,0 days 00:00:19.772000,0 days 00:00:35.081000,0 days 00:00:19.892000,0 days 01:39:35.451000,0 days 01:40:10.532000,0 days 01:40:30.424000,,196.0,255.0,266.0,False,HARD,19.0,True,Red Bull Racing,0 days 01:39:15.679000,2021-05-23 14:09:16.442,1,1.0,False,,False,True
0 days 01:41:45.391000,VER,33,0 days 00:01:14.967000,54.0,2.0,,,0 days 00:00:19.888000,0 days 00:00:35.075000,0 days 00:00:20.004000,0 days 01:40:50.312000,0 days 01:41:25.387000,0 days 01:41:45.391000,198.0,197.0,253.0,267.0,False,HARD,20.0,True,Red Bull Racing,0 days 01:40:30.424000,2021-05-23 14:10:31.187,1,1.0,False,,False,True
0 days 01:43:00.174000,VER,33,0 days 00:01:14.783000,55.0,2.0,,,0 days 00:00:19.783000,0 days 00:00:35.013000,0 days 00:00:19.987000,0 days 01:42:05.174000,0 days 01:42:40.187000,0 days 01:43:00.174000,195.0,197.0,253.0,267.0,False,HARD,21.0,True,Red Bull Racing,0 days 01:41:45.391000,2021-05-23 14:11:46.154,1,1.0,False,,False,True
0 days 01:44:14.973000,VER,33,0 days 00:01:14.799000,56.0,2.0,,,0 days 00:00:19.798000,0 days 00:00:34.975000,0 days 00:00:20.026000,0 days 01:43:19.972000,0 days 01:43:54.947000,0 days 01:44:14.973000,199.0,197.0,257.0,268.0,False,HARD,22.0,True,Red Bull Racing,0 days 01:43:00.174000,2021-05-23 14:13:00.937,1,1.0,False,,False,True
0 days 01:45:29.735000,VER,33,0 days 00:01:14.762000,57.0,2.0,,,0 days 00:00:19.742000,0 days 00:00:35.075000,0 days 00:00:19.945000,0 days 01:44:34.715000,0 days 01:45:09.790000,0 days 01:45:29.735000,198.0,197.0,257.0,268.0,False,HARD,23.0,True,Red Bull Racing,0 days 01:44:14.973000,2021-05-23 14:14:15.736,1,1.0,False,,False,True
0 days 01:46:44.384000,VER,33,0 days 00:01:14.649000,58.0,2.0,,,0 days 00:00:19.620000,0 days 00:00:35.004000,0 days 00:00:20.025000,0 days 01:45:49.355000,0 days 01:46:24.359000,0 days 01:46:44.384000,201.0,198.0,258.0,270.0,True,HARD,24.0,True,Red Bull Racing,0 days 01:45:29.735000,2021-05-23 14:15:30.498,1,1.0,False,,False,True
0 days 01:47:59.476000,VER,33,0 days 00:01:15.092000,59.0,2.0,,,0 days 00:00:19.717000,0 days 00:00:35.268000,0 days 00:00:20.107000,0 days 01:47:04.101000,0 days 01:47:39.369000,0 days 01:47:59.476000,197.0,196.0,259.0,271.0,False,HARD,25.0,True,Red Bull Racing,0 days 01:46:44.384000,2021-05-23 14:16:45.147,1,1.0,False,,False,True
0 days 01:49:14.846000,VER,33,0 days 00:01:15.370000,60.0,2.0,,,0 days 00:00:19.817000,0 days 00:00:35.574000,0 days 00:00:19.979000,0 days 01:48:19.293000,0 days 01:48:54.867000,0 days 01:49:14.846000,196.0,197.0,258.0,269.0,False,HARD,26.0,True,Red Bull Racing,0 days 01:47:59.476000,2021-05-23 14:18:00.239,1,1.0,False,,False,True
0 days 01:50:30.403000,VER,33,0 days 00:01:15.557000,61.0,2.0,,,0 days 00:00:19.719000,0 days 00:00:35.443000,0 days 00:00:20.395000,0 days 01:49:34.565000,0 days 01:50:10.008000,0 days 01:50:30.403000,200.0,196.0,259.0,270.0,False,HARD,27.0,True,Red Bull Racing,0 days 01:49:14.846000,2021-05-23 14:19:15.609,1,1.0,False,,False,True
0 days 01:51:45.858000,VER,33,0 days 00:01:15.455000,62.0,2.0,,,0 days 00:00:19.806000,0 days 00:00:35.538000,0 days 00:00:20.111000,0 days 01:50:50.209000,0 days 01:51:25.747000,0 days 01:51:45.858000,193.0,195.0,258.0,270.0,False,HARD,28.0,True,Red Bull Racing,0 days 01:50:30.403000,2021-05-23 14:20:31.166,1,1.0,False,,False,True
0 days 01:53:00.872000,VER,33,0 days 00:01:15.014000,63.0,2.0,,,0 days 00:00:19.704000,0 days 00:00:35.167000,0 days 00:00:20.143000,0 days 01:52:05.562000,0 days 01:52:40.729000,0 days 01:53:00.872000,198.0,196.0,260.0,269.0,False,HARD,29.0,True,Red Bull Racing,0 days 01:51:45.858000,2021-05-23 14:21:46.621,1,1.0,False,,False,True
0 days 01:54:16.345000,VER,33,0 days 00:01:15.473000,64.0,2.0,,,0 days 00:00:19.707000,0 days 00:00:35.562000,0 days 00:00:20.204000,0 days 01:53:20.579000,0 days 01:53:56.141000,0 days 01:54:16.345000,,197.0,259.0,270.0,False,HARD,30.0,True,Red Bull Racing,0 days 01:53:00.872000,2021-05-23 14:23:01.635,1,1.0,False,,False,True
0 days 01:55:31.701000,VER,33,0 days 00:01:15.356000,65.0,2.0,,,0 days 00:00:19.844000,0 days 00:00:35.457000,0 days 00:00:20.055000,0 days 01:54:36.189000,0 days 01:55:11.646000,0 days 01:55:31.701000,201.0,196.0,259.0,270.0,False,HARD,31.0,True,Red Bull Racing,0 days 01:54:16.345000,2021-05-23 14:24:17.108,1,1.0,False,,False,True
0 days 01:56:47.002000,VER,33,0 days 00:01:15.301000,66.0,2.0,,,0 days 00:00:19.714000,0 days 00:00:35.465000,0 days 00:00:20.122000,0 days 01:55:51.415000,0 days 01:56:26.880000,0 days 01:56:47.002000,204.0,195.0,255.0,270.0,False,HARD,32.0,True,Red Bull Racing,0 days 01:55:31.701000,2021-05-23 14:25:32.464,1,1.0,False,,False,True
0 days 01:58:02.037000,VER,33,0 days 00:01:15.035000,67.0,2.0,,,0 days 00:00:19.835000,0 days 00:00:35.171000,0 days 00:00:20.029000,0 days 01:57:06.837000,0 days 01:57:42.008000,0 days 01:58:02.037000,201.0,196.0,257.0,267.0,False,HARD,33.0,True,Red Bull Racing,0 days 01:56:47.002000,2021-05-23 14:26:47.765,1,1.0,False,,False,True
0 days 01:59:16.880000,VER,33,0 days 00:01:14.843000,68.0,2.0,,,0 days 00:00:19.706000,0 days 00:00:35.079000,0 days 00:00:20.058000,0 days 01:58:21.743000,0 days 01:58:56.822000,0 days 01:59:16.880000,200.0,197.0,257.0,267.0,False,HARD,34.0,True,Red Bull Racing,0 days 01:58:02.037000,2021-05-23 14:28:02.800,1,1.0,False,,False,True
0 days 02:00:31.716000,VER,33,0 days 00:01:14.836000,69.0,2.0,,,0 days 00:00:19.606000,0 days 00:00:35.089000,0 days 00:00:20.141000,0 days 01:59:36.486000,0 days 02:00:11.575000,0 days 02:00:31.716000,203.0,196.0,259.0,269.0,False,HARD,35.0,True,Red Bull Racing,0 days 01:59:16.880000,2021-05-23 14:29:17.643,1,1.0,False,,False,True
